date,GDPC1MD0,GDPC1MD1,GDPC1MD2,GDPC1MD3,PCECTPIMD0,PCECTPIMD1,PCECTPIMD2,PCECTPIMD3,UNRATEMD0,UNRATEMD1,UNRATEMD2,UNRATEMD3,FEDTARMD0,FEDTARMD1,FEDTARMD2,FEDTARMD3
10/31/2007,2.4,2.2,2.5,2.5,3,1.9,1.8,1.8,4.8,4.9,4.9,4.8,,,,
1/30/2008,1.5,2.4,2.6,,2.3,1.8,1.8,,5.2,5.1,5,,,,,
4/30/2008,0.8,2.4,2.9,,3.3,2,1.8,,5.6,5.5,5.3,,,,,
6/25/2008,1.3,2.4,2.8,,4.1,2.1,1.9,,5.6,5.6,5.4,,,,,
10/29/2008,0.2,0.5,2.7,3.5,2.9,1.8,1.6,1.5,6.4,7.4,6.9,6.2,,,,
1/28/2009,-1,3,4.35,,0.75,1.2,1.5,,8.6,8.2,7.1,,,,,
4/29/2009,-1.6,2.6,4.4,,0.7,1.1,1.5,,9.5,9.1,8.1,,,,,
6/24/2009,-1.2,2.9,4.4,,1.2,1.4,1.5,,10,9.7,8.6,,,,,
11/4/2009,-0.2,3,4.3,4.4,1.1,1.4,1.5,1.5,10,9.5,8.3,7,,,,
1/27/2010,3.4,4.3,4.3,,1.4,1.5,1.5,,9.5,8.3,7,,,,,
4/28/2010,3.6,4.3,4.2,,1.3,1.5,1.5,,9.3,8.2,7,,,,,
6/23/2010,3.3,3.9,4.2,,1,1.3,1.5,,9.5,8.5,7.2,,,,,
11/3/2010,2.4,3.45,4.2,4.1,1.3,1.3,1.45,1.5,9.7,9,8,7.1,,,,
1/26/2011,3.7,4,4,,1.3,1.5,1.5,,8.9,7.95,7,,,,,
4/27/2011,3.2,3.7,3.9,,2.3,1.5,1.5,,8.5,7.8,7,,,,,
6/22/2011,2.7,3.5,3.8,,2.4,1.5,1.7,,8.7,8.1,7.1,,,,,
11/2/2011,1.7,2.6,3.1,3.5,2.7,1.8,1.7,1.8,9.1,8.6,8.1,7.3,,,,
1/25/2012,2.5,3,3.4,,1.5,1.8,1.9,,8.3,7.8,7.2,,0.13,0.13,0.75,
4/25/2012,2.7,3,3.3,,2,1.9,2,,8,7.5,7,,0.13,0.13,1,
6/20/2012,2,2.6,3.2,,1.4,1.8,1.9,,8.1,7.8,7.4,,0.13,0.13,0.5,
9/13/2012,1.8,2.7,3.2,3.5,1.8,1.8,2,2,8.2,7.7,7.2,6.5,0.13,0.13,0.13,1
12/12/2012,1.7,2.6,3.2,3.5,1.6,1.6,1.8,2,7.8,7.5,7,6.3,0.13,0.13,0.13,1
3/20/2013,2.6,3.2,3.5,,1.5,1.8,2,,7.4,6.9,6.2,,0.13,0.13,1,
6/19/2013,2.4,3.3,3.4,,1,1.6,1.9,,7.3,6.7,6,,0.13,0.13,1,
9/18/2013,2.1,3,3.2,3,1.1,1.6,1.9,2,7.2,6.7,6,5.6,0.13,0.13,1,2
12/18/2013,2.3,3,3.2,3,0.9,1.4,1.7,2,7.1,6.5,5.9,5.5,0.13,0.13,0.75,1.75
3/19/2014,2.9,3.2,2.85,,1.5,1.75,2,,6.2,5.65,5.3,,0.13,1,2.25,
6/18/2014,2.2,3,3,,1.6,1.75,2,,6,5.5,5.2,,0.13,1.125,2.5,
9/17/2014,2.2,3,2.8,2.3,1.6,1.8,2,2,5.9,5.5,5.2,5.1,0.13,1.38,2.88,3.75
12/17/2014,2.4,2.8,2.7,2.3,1.2,1.2,1.8,2,5.8,5.3,5.1,5,0.13,1.13,2.5,3.63
3/18/2015,2.5,2.5,2.2,,0.7,1.7,2,,5.2,5,5,,0.63,1.88,3.13,
6/17/2015,1.9,2.5,2.3,,0.7,1.8,2,,5.3,5.1,5,,0.63,1.63,2.88,
9/17/2015,2.1,2.3,2.2,2,0.4,1.7,1.9,2,5,4.8,4.8,4.8,0.38,1.38,2.63,3.38
