date,UNRATEMD0,UNRATEMD1,UNRATEMD2,UNRATEMD3,GDPC1MD0,GDPC1MD1,GDPC1MD2,GDPC1MD3,PCECTPIMD0,PCECTPIMD1,PCECTPIMD2,PCECTPIMD3,FEDTARMD0,FEDTARMD1,FEDTARMD2,FEDTARMD3,DFFR,FEDTARMDLR
2007-10-31,4.8,4.9,4.9,4.8,2.4,2.2,2.5,2.5,3.0,1.9,1.8,1.8,,,,,,
2008-01-30,5.2,5.1,5.0,,1.5,2.4,2.6,,2.3,1.8,1.8,,,,,,,
2008-04-30,5.6,5.5,5.3,,0.8,2.4,2.9,,3.3,2.0,1.8,,,,,,,
2008-06-25,5.6,5.6,5.4,,1.3,2.4,2.8,,4.1,2.1,1.9,,,,,,,
2008-10-29,6.4,7.4,6.9,6.2,0.2,0.5,2.7,3.5,2.9,1.8,1.6,1.5,,,,,,
2009-01-28,8.6,8.2,7.1,,-1.0,3.0,4.35,,0.75,1.2,1.5,,,,,,,
2009-04-29,9.5,9.1,8.1,,-1.6,2.6,4.4,,0.7,1.1,1.5,,,,,,,
2009-06-24,10.0,9.7,8.6,,-1.2,2.9,4.4,,1.2,1.4,1.5,,,,,,,
2009-11-04,10.0,9.5,8.3,7.0,-0.2,3.0,4.3,4.4,1.1,1.4,1.5,1.5,,,,,,
2010-01-27,9.5,8.3,7.0,,3.4,4.3,4.3,,1.4,1.5,1.5,,,,,,,
2010-04-28,9.3,8.2,7.0,,3.6,4.3,4.2,,1.3,1.5,1.5,,,,,,,
2010-06-23,9.5,8.5,7.2,,3.3,3.9,4.2,,1.0,1.3,1.5,,,,,,,
2010-11-03,9.7,9.0,8.0,7.1,2.4,3.45,4.2,4.1,1.3,1.3,1.45,1.5,,,,,,
2011-01-26,8.9,7.95,7.0,,3.7,4.0,4.0,,1.3,1.5,1.5,,,,,,,
2011-04-27,8.5,7.8,7.0,,3.2,3.7,3.9,,2.3,1.5,1.5,,,,,,,
2011-06-22,8.7,8.1,7.1,,2.7,3.5,3.8,,2.4,1.5,1.7,,,,,,,
2011-11-02,9.1,8.6,8.1,7.3,1.7,2.6,3.1,3.5,2.7,1.8,1.7,1.8,,,,,,
2012-01-25,8.3,7.8,7.2,,2.5,3.0,3.4,,1.5,1.8,1.9,,0.13,0.13,0.75,,,
2012-04-25,8.0,7.5,7.0,,2.7,3.0,3.3,,2.0,1.9,2.0,,0.13,0.13,1.0,,,
2012-06-20,8.1,7.8,7.4,,2.0,2.6,3.2,,1.4,1.8,1.9,,0.13,0.13,0.5,,,
2012-09-13,8.2,7.7,7.2,6.5,1.8,2.7,3.2,3.5,1.8,1.8,2.0,2.0,0.13,0.13,0.13,1.0,,
2012-12-12,7.8,7.5,7.0,6.3,1.7,2.6,3.2,3.5,1.6,1.6,1.8,2.0,0.13,0.13,0.13,1.0,,
2013-03-20,7.4,6.9,6.2,,2.6,3.2,3.5,,1.5,1.8,2.0,,0.13,0.13,1.0,,,
2013-06-19,7.3,6.7,6.0,,2.4,3.3,3.4,,1.0,1.6,1.9,,0.13,0.13,1.0,,,
