quarter,lagged_gdp,avg_prior_year_gdp
1992Q1,4866.3,4848.425
1992Q2,4891.9,4848.85
1992Q3,4890.5,4821.025
1992Q4,4924.5,4821.025
1993Q1,4979.8,4919.9
1993Q2,5013.1,4922.65
1993Q3,5019.5,4922.65
1993Q4,5138,4986.25
1994Q1,5212.1,5132.675
1994Q2,5259,5136.05
1994Q3,5309.2,5134.525
1994Q4,5359.2,5134.525
1995Q1,5426.8,5342.25
1995Q2,5471.7,5344
1995Q3,5477.3,5344
1995Q4,5544.6,5344
1996Q1,,
1996Q2,,6738.95
1996Q4,6929.7,6742.9
1997Q1,7008.7,6911
1997Q2,7089.4,6906.825
1997Q3,7139.7,6928.4
1997Q4,7221.8,6928.4
1998Q1,7290.3,7191.375
1998Q2,7356,7188.8
1998Q3,7491,7269.75
1998Q4,7559.5,7269.75
1999Q1,7670,7549.95
1999Q2,7762.5,7551.875
1999Q3,7803.6,7551.875
1999Q4,8882.6,8516.275
2000Q1,9026.9,8861
2000Q2,,8848.225
2000Q3,9308.8,8875.775
2000Q4,9382.2,8875.775
2001Q1,9401.5,9320.425
2001Q2,9439.9,9318.475
2001Q3,9351.6,9223.975
2001Q4,9333.4,9223.975
2002Q1,9315.6,9325.55
2002Q2,9482.1,9333.8
2002Q3,9387.9,9214.55
2002Q4,9465.2,9214.55
2003Q1,9503.2,9436.1
2003Q2,9556,9439.85
2003Q3,9608.1,9439.85
2003Q4,9797.2,9439.85
2004Q1,10597.1,10397.225
2004Q2,10708.6,10397.975
2004Q3,10778,10381.325
2004Q4,10883.4,10381.325
2005Q1,10975.7,10837.225
2005Q2,11078.2,10841.875
2005Q3,11092,10755.65
2005Q4,11193.2,10755.65
2006Q1,11233.5,11131.075
2006Q2,11381.4,11134.775
2006Q3,11385.3,11048.625
2006Q4,11432.9,11048.625
2007Q1,11541.6,11422.4
2007Q2,11549.1,11415.25
2007Q3,11507.9,11319.4
2007Q4,11630.7,11319.4
2008Q1,11677.4,11567.25
2008Q2,11693.1,11566.825
2008Q3,11700.6,11523.9
2008Q4,11720,11523.9
2009Q1,11599.4,11671.3
2009Q2,11340.9,11651.975
2009Q3,12892.4,13312.175
2009Q4,13014,13312.175
2010Q1,13155,12988.725
2010Q2,13254.7,12987.35
2010Q3,13216.5,12880.6
2010Q4,13260.7,12880.6
2011Q1,13382.6,13248.7
2011Q2,13438.8,13248.225
2011Q3,13270.1,13087.975
2011Q4,13352.8,13087.975
2012Q1,13422.4,13313.425
2012Q2,13502.4,13315.075
2012Q3,13558,13299.1
2012Q4,13616.2,13299.1
2013Q1,13647.6,13588.75
2013Q2,13750.1,13593.2
2013Q3,15648.7,15470.725
2014Q1,15965.6,15767.125
2014Q2,15946.6,15761.3
2014Q3,15985.7,15710.275
2014Q4,16150.6,15710.275
2015Q1,16311.6,16089.825
2015Q2,16304.8,16085.6
2015Q3,16270.4,15961.65
2015Q4,16394.2,15961.65
2016Q1,16442.3,16341.8
2016Q2,16492.7,16348.875
2016Q3,16575.1,16397.2
2016Q4,16702.1,16397.2
2017Q1,16804.8,16659.975
2017Q2,16842.4,16662.1
2017Q3,17010.7,16716.15
2017Q4,17156.946,16716.16425
2018Q1,17272.468,17092.67175
2018Q2,17385.831,17096.179
2018Q3,18507.2,18050.6935
2018Q4,18671.497,18050.6935
2019Q2,18912.326,18566.442
2019Q3,19023.82,18638.16425
2019Q4,19112.542,18638.16425
2020Q1,19219.767,19072.505
2020Q2,18987.877,19073.05575
2020Q3,17205.822,19091.66225
2020Q4,18583.984,19091.66225
2021Q1,18780.325,18422.55125
2021Q2,19087.568,18426.0765
2021Q3,19358.176,18384.68725
2021Q4,19465.195,18384.68725
2022Q1,19805.962,19427.205
2022Q2,19735.895,19427.287
2022Q3,19681.682,19427.287
2022Q4,20021.721,19609.81175
2023Q1,20198.091,20018.02825
2023Q2,20235.878,20014.12825
2023Q3,20404.088,20014.12825
2023Q4,22491.567,21822.0365
2024Q1,22672.859,22375.3075
2024Q2,22768.866,22376.9065
2024Q3,22918.739,22376.9065
2024Q4,23386.248,22671.0965
2025Q1,23530.909,23302.1635
2025Q2,23526.085,23305.0235
2025Q3,23685.287,23305.0235
